test_returned_episode_lengths,test_returned_episode_returns,returned_episode_returns,loss,update_steps,grad_steps,test_returned_episode,returned_episode,env_step,returned_episode_lengths,_runtime,test_returned_won_episode,_timestamp,qvals,_step,returned_won_episode
32.83440017700195,0.455923855304718,0.24418289959430695,0.0,1,0,1.0,0.0234375,1536.0,25.45442771911621,58.056445066,0.0,1746192158.288256,0.0,0,0.0
32.83440017700195,0.455923855304718,0.23299799859523773,0.0,10,0,1.0,0.02278645895421505,15360.0,25.13671875,58.634205421,0.0,1746192158.8667433,0.0,9,0.0
32.83440017700195,0.455923855304718,0.23753251135349274,0.0,13,0,1.0,0.0234375,19968.0,26.18099021911621,58.826478902,0.0,1746192159.0589929,0.0,12,0.0
32.83440017700195,0.455923855304718,0.23696613311767578,0.0,28,0,1.0,0.02604166604578495,43008.0,24.4453125,59.791745917,0.0,1746192160.0242622,0.0,27,0.0
32.83440017700195,0.455923855304718,0.25841468572616577,0.010718582198023796,38,56,1.0,0.02213541604578495,58368.0,26.47786521911621,62.638919534,0.0,1746192162.8713276,0.09819944202899933,37,0.0
32.83440017700195,0.455923855304718,0.25989580154418945,0.00774013577029109,39,64,1.0,0.02278645895421505,59904.0,26.38932228088379,63.018917468,0.0,1746192163.2513468,0.18419857323169708,38,0.0
32.83440017700195,0.455923855304718,0.26162105798721313,0.0036279167979955673,40,72,1.0,0.021484375,61440.0,27.115234375,63.409445082,0.0,1746192163.641739,0.17020165920257568,39,0.0
32.83440017700195,0.455923855304718,0.26339516043663025,0.00549832871183753,46,120,1.0,0.02604166604578495,70656.0,24.12174415588379,65.664026427,0.0,1746192165.896516,0.5766972303390503,45,0.0
32.83440017700195,0.455923855304718,0.28195634484291077,0.010531360283493996,55,192,1.0,0.02408854104578495,84480.0,25.66927146911621,69.101999746,0.0,1746192169.3342803,0.7436429262161255,54,0.0
32.83440017700195,0.455923855304718,0.29199543595314026,0.027327246963977814,75,352,1.0,0.0234375,115200.0,26.03841209411621,76.696737562,0.0,1746192176.9292135,0.8293410539627075,74,0.0
32.83440017700195,0.455923855304718,0.2991080582141876,0.04224637150764465,98,536,1.0,0.025390625,150528.0,24.6953125,85.46427351,0.0,1746192185.6967664,0.6874136924743652,97,0.0
32.83440017700195,0.455923855304718,0.30345049500465393,0.11462082713842392,122,728,1.0,0.025390625,187392.0,25.041015625,94.57367197,0.0,1746192194.8061225,0.5962040424346924,121,0.0
32.83440017700195,0.455923855304718,0.2859407663345337,0.07888075709342957,134,824,1.0,0.02604166604578495,205824.0,24.98307228088379,99.109333031,0.0,1746192199.341831,0.5264694690704346,133,0.0
32.83440017700195,0.455923855304718,0.28907549381256104,0.1331758201122284,149,944,1.0,0.02083333395421505,228864.0,25.583984375,104.792089098,0.0,1746192205.0245912,0.558605968952179,148,0.0
32.83440017700195,0.455923855304718,0.3087141215801239,0.26057302951812744,157,1008,1.0,0.02604166604578495,241152.0,24.07747459411621,107.837064631,0.0,1746192208.069528,0.5519285202026367,156,0.0
