rng2767815671/returned_episode_lengths,env_step,rng2767815671/qvals,rng2767815671/update_steps,_step,qvals,rng2767815671/returned_episode,rng2767815671/returned_episode_returns,returned_episode,test_returned_episode,rng2767815671/test_returned_episode,rng2767815671/grad_steps,returned_won_episode,loss,test_returned_episode_returns,update_steps,rng2767815671/test_returned_episode_lengths,rng2767815671/test_returned_won_episode,returned_episode_lengths,returned_episode_returns,test_returned_won_episode,grad_steps,rng2767815671/loss,_runtime,rng2767815671/returned_won_episode,_timestamp,test_returned_episode_lengths,rng2767815671/env_step,rng2767815671/test_returned_episode_returns
31.05208396911621,13824.0,0.0,9,8,0.0,0.015625,0.102561816573143,0.015625,1.0,1.0,0,0.0,0.0,0.02511768415570259,9,24.11228370666504,0.0,31.05208396911621,0.102561816573143,0.0,0,0.0,48.825185301,0.0,1746183497.898971,24.11228370666504,13824.0,0.02511768415570259
30.580730438232422,18432.0,0.0,12,11,0.0,0.01497395895421505,0.10239644348621368,0.01497395895421505,1.0,1.0,0,0.0,0.0,0.02511768415570259,12,24.11228370666504,0.0,30.580730438232422,0.10239644348621368,0.0,0,0.0,49.022509173,0.0,1746183498.0962808,24.11228370666504,18432.0,0.02511768415570259
29.59375,38400.0,0.0,25,24,0.0,0.013671875,0.10093033313751221,0.013671875,1.0,1.0,0,0.0,0.0,0.02511768415570259,25,24.11228370666504,0.0,29.59375,0.10093033313751221,0.0,0,0.0,49.877752873,0.0,1746183498.9515429,24.11228370666504,38400.0,0.02511768415570259
30.451824188232422,67584.0,0.33130988478660583,44,43,0.33130988478660583,0.014322916977107525,0.1131361871957779,0.014322916977107525,1.0,1.0,104,0.0,0.0034183126408606768,0.02511768415570259,44,24.11228370666504,0.0,30.451824188232422,0.1131361871957779,0.0,104,0.0034183126408606768,55.422526459,0.0,1746183504.4962978,24.11228370666504,67584.0,0.02511768415570259
30.67578125,73728.0,0.33621376752853394,48,47,0.33621376752853394,0.014322916977107525,0.12193863838911057,0.014322916977107525,1.0,1.0,136,0.0,0.0027230577543377876,0.02511768415570259,48,24.11228370666504,0.0,30.67578125,0.12193863838911057,0.0,136,0.0027230577543377876,57.00529254,0.0,1746183506.0790331,24.11228370666504,73728.0,0.02511768415570259
30.822917938232422,93696.0,0.5108705759048462,61,60,0.5108705759048462,0.013671875,0.12887169420719147,0.013671875,1.0,1.0,240,0.0,0.0037534309085458517,0.02511768415570259,61,24.11228370666504,0.0,30.822917938232422,0.12887169420719147,0.0,240,0.0037534309085458517,62.154196104,0.0,1746183511.2279494,24.11228370666504,93696.0,0.02511768415570259
30.875,105984.0,0.591667890548706,69,68,0.591667890548706,0.014322916977107525,0.13334105908870697,0.014322916977107525,1.0,1.0,304,0.0,0.004635718651115894,0.02511768415570259,69,24.11228370666504,0.0,30.875,0.13334105908870697,0.0,304,0.004635718651115894,65.319943223,0.0,1746183514.3936949,24.11228370666504,105984.0,0.02511768415570259
30.859375,110592.0,0.6418676972389221,72,71,0.6418676972389221,0.01497395895421505,0.13265955448150635,0.01497395895421505,1.0,1.0,328,0.0,0.020495587959885597,0.02511768415570259,72,24.11228370666504,0.0,30.859375,0.13265955448150635,0.0,328,0.020495587959885597,66.509626995,0.0,1746183515.5833642,24.11228370666504,110592.0,0.02511768415570259
31.16796875,115200.0,0.6431057453155518,75,74,0.6431057453155518,0.015625,0.13783550262451172,0.015625,1.0,1.0,352,0.0,0.007045108824968338,0.02511768415570259,75,24.11228370666504,0.0,31.16796875,0.13783550262451172,0.0,352,0.007045108824968338,67.696722868,0.0,1746183516.7704918,24.11228370666504,115200.0,0.02511768415570259
30.9140625,148992.0,0.7023951411247253,97,96,0.7023951411247253,0.015625,0.16855236887931824,0.015625,1.0,1.0,528,0.0,0.010249445214867592,0.02511768415570259,97,24.11228370666504,0.0,30.9140625,0.16855236887931824,0.0,528,0.010249445214867592,76.404013635,0.0,1746183525.4777944,24.11228370666504,148992.0,0.02511768415570259
